x,y,attempt,log_attempt,made,missed
216,372,36,1.5563025007672873,11,25
288,372,11,1.0413926851582251,7,4
300,372,11,1.0413926851582251,6,5
312,372,20,1.3010299956639813,4,16
324,372,20,1.3010299956639813,6,14
372,372,13,1.1139433523068367,5,8
384,372,12,1.0791812460476249,3,9
408,372,19,1.2787536009528289,5,14
420,372,25,1.3979400086720377,6,19
432,372,21,1.3222192947339193,7,14
444,372,22,1.3424226808222062,4,18
456,372,18,1.255272505103306,4,14
468,372,23,1.3617278360175928,6,17
480,372,22,1.3424226808222062,9,13
492,372,16,1.2041199826559248,6,10
168,384,12,1.0791812460476249,7,5
180,384,16,1.2041199826559248,7,9
192,384,41,1.6127838567197355,7,34
204,384,57,1.7558748556724915,16,41
216,384,42,1.6232492903979006,11,31
288,384,15,1.1760912590556813,2,13
312,384,17,1.2304489213782739,6,11
324,384,12,1.0791812460476249,7,5
336,384,17,1.2304489213782739,10,7
348,384,11,1.0413926851582251,5,6
360,384,14,1.146128035678238,2,12
372,384,16,1.2041199826559248,5,11
384,384,21,1.3222192947339193,7,14
396,384,13,1.1139433523068367,6,7
408,384,22,1.3424226808222062,5,17
420,384,31,1.4913616938342726,8,23
432,384,23,1.3617278360175928,11,12
444,384,25,1.3979400086720377,5,20
456,384,18,1.255272505103306,8,10
468,384,42,1.6232492903979006,19,23
480,384,29,1.462397997898956,10,19
492,384,18,1.255272505103306,9,9
180,396,14,1.146128035678238,5,9
192,396,33,1.5185139398778875,9,24
204,396,59,1.7708520116421442,21,38
216,396,63,1.7993405494535817,17,46
228,396,13,1.1139433523068367,2,11
312,396,14,1.146128035678238,3,11
324,396,11,1.0413926851582251,4,7
336,396,19,1.2787536009528289,7,12
348,396,10,1.0,5,5
360,396,15,1.1760912590556813,7,8
372,396,15,1.1760912590556813,5,10
384,396,16,1.2041199826559248,8,8
396,396,13,1.1139433523068367,5,8
408,396,16,1.2041199826559248,1,15
420,396,24,1.380211241711606,8,16
432,396,11,1.0413926851582251,4,7
444,396,16,1.2041199826559248,3,13
456,396,23,1.3617278360175928,7,16
468,396,20,1.3010299956639813,7,13
480,396,26,1.414973347970818,5,21
492,396,29,1.462397997898956,8,21
192,408,15,1.1760912590556813,6,9
204,408,60,1.7781512503836436,22,38
216,408,79,1.8976270912904414,29,50
228,408,39,1.591064607026499,12,27
288,408,11,1.0413926851582251,7,4
312,408,10,1.0,3,7
336,408,13,1.1139433523068367,4,9
348,408,10,1.0,4,6
372,408,11,1.0413926851582251,7,4
384,408,14,1.146128035678238,4,10
396,408,23,1.3617278360175928,8,15
408,408,15,1.1760912590556813,7,8
420,408,14,1.146128035678238,6,8
444,408,12,1.0791812460476249,1,11
456,408,18,1.255272505103306,4,14
468,408,20,1.3010299956639813,7,13
480,408,12,1.0791812460476249,6,6
492,408,21,1.3222192947339193,5,16
192,420,19,1.2787536009528289,5,14
204,420,34,1.5314789170422551,16,18
216,420,79,1.8976270912904414,25,54
228,420,62,1.792391689498254,27,35
324,420,12,1.0791812460476249,4,8
348,420,14,1.146128035678238,5,9
372,420,10,1.0,2,8
384,420,11,1.0413926851582251,5,6
396,420,11,1.0413926851582251,3,8
408,420,13,1.1139433523068367,9,4
432,420,11,1.0413926851582251,1,10
456,420,17,1.2304489213782739,2,15
468,420,17,1.2304489213782739,8,9
480,420,18,1.255272505103306,7,11
492,420,18,1.255272505103306,8,10
192,432,15,1.1760912590556813,3,12
204,432,39,1.591064607026499,18,21
216,432,50,1.6989700043360187,13,37
228,432,72,1.8573324964312685,28,44
240,432,36,1.5563025007672873,10,26
324,432,13,1.1139433523068367,5,8
372,432,14,1.146128035678238,6,8
384,432,10,1.0,3,7
396,432,11,1.0413926851582251,5,6
420,432,14,1.146128035678238,4,10
432,432,13,1.1139433523068367,3,10
444,432,15,1.1760912590556813,3,12
456,432,17,1.2304489213782739,6,11
468,432,15,1.1760912590556813,6,9
480,432,18,1.255272505103306,4,14
492,432,14,1.146128035678238,4,10
192,444,11,1.0413926851582251,5,6
204,444,16,1.2041199826559248,9,7
216,444,59,1.7708520116421442,13,46
228,444,80,1.9030899869919435,25,55
240,444,68,1.8325089127062364,24,44
252,444,22,1.3424226808222062,10,12
444,444,10,1.0,1,9
456,444,11,1.0413926851582251,4,7
468,444,16,1.2041199826559248,8,8
480,444,12,1.0791812460476249,2,10
492,444,13,1.1139433523068367,3,10
204,456,18,1.255272505103306,4,14
216,456,36,1.5563025007672873,11,25
228,456,65,1.8129133566428555,20,45
240,456,86,1.9344984512435677,28,58
252,456,55,1.7403626894942439,15,40
396,456,11,1.0413926851582251,1,10
432,456,10,1.0,5,5
456,456,12,1.0791812460476249,3,9
480,456,14,1.146128035678238,5,9
492,456,11,1.0413926851582251,6,5
192,468,10,1.0,3,7
204,468,10,1.0,4,6
216,468,24,1.380211241711606,9,15
228,468,65,1.8129133566428555,13,52
240,468,95,1.9777236052888478,34,61
252,468,84,1.9242792860618816,27,57
264,468,34,1.5314789170422551,15,19
456,468,11,1.0413926851582251,4,7
468,468,14,1.146128035678238,6,8
480,468,16,1.2041199826559248,3,13
492,468,18,1.255272505103306,2,16
216,480,24,1.380211241711606,6,18
228,480,26,1.414973347970818,7,19
240,480,74,1.8692317197309762,29,45
252,480,103,2.012837224705172,24,79
264,480,104,2.0170333392987803,36,68
276,480,28,1.4471580313422192,11,17
456,480,11,1.0413926851582251,4,7
468,480,13,1.1139433523068367,5,8
480,480,15,1.1760912590556813,8,7
492,480,12,1.0791812460476249,3,9
228,492,18,1.255272505103306,5,13
240,492,57,1.7558748556724915,15,42
252,492,75,1.8750612633917,27,48
264,492,96,1.9822712330395684,37,59
276,492,79,1.8976270912904414,30,49
288,492,18,1.255272505103306,10,8
468,492,13,1.1139433523068367,3,10
480,492,11,1.0413926851582251,4,7
492,492,13,1.1139433523068367,6,7
216,504,10,1.0,1,9
228,504,16,1.2041199826559248,7,9
240,504,27,1.4313637641589874,12,15
